Date,Borough,Outcome type_Formal action is not in the public interest,Outcome type_Investigation complete; no suspect identified,Outcome type_Local resolution,Outcome type_Offender given a caution,Outcome type_Offender given a drugs possession warning,Outcome type_Offender given penalty notice,Outcome type_Suspect charged,Outcome type_Suspect charged as part of another case,Outcome type_Unable to prosecute suspect,Total
2022-08-01,Hammersmith and Fulham,0,866,38,11,1,12,79,0,0,1007
2022-08-01,Harborough,0,1,0,0,0,0,0,0,0,1
2022-08-01,Haringey,0,1190,85,27,1,25,94,0,0,1422
2022-08-01,Harrow,0,590,38,8,0,6,78,0,0,720
2022-08-01,Hartlepool,0,1,0,0,0,0,0,0,0,1
2022-08-01,Havering,0,583,67,16,1,14,60,0,0,741
2022-08-01,Hertsmere,0,2,1,0,0,0,0,0,0,3
2022-08-01,Hillingdon,0,1548,101,22,0,12,115,0,0,1798
2022-08-01,Hounslow,1,904,31,16,0,6,113,0,0,1071
2022-08-01,Isle of Wight,0,3,0,0,0,0,0,0,0,3
2022-08-01,Islington,0,1289,53,12,0,6,94,0,0,1454
2022-08-01,Kensington and Chelsea,0,2411,60,8,1,12,93,0,0,2585
2022-08-01,Kingston upon Thames,0,303,26,9,0,7,37,0,0,382
2022-08-01,Lambeth,0,1187,43,24,0,4,169,0,0,1427
2022-08-01,Lewisham,0,1167,54,20,2,11,156,3,0,1413
2022-08-01,Manchester,0,0,0,1,0,0,0,0,0,1
2022-08-01,Medway,0,0,0,0,0,0,1,0,0,1
2022-08-01,Merton,0,552,20,9,0,0,53,0,0,634
2022-08-01,Mid Sussex,0,2,0,0,0,0,0,0,0,2
2022-08-01,Milton Keynes,0,2,0,0,0,0,0,0,0,2
2022-08-01,Mole Valley,0,2,0,0,0,0,0,0,0,2
2022-08-01,Newham,0,1140,161,28,0,50,124,0,0,1503
2022-08-01,North Hertfordshire,0,0,0,0,0,0,1,0,0,1
2022-08-01,Plymouth,0,1,0,0,0,0,0,0,0,1
2022-08-01,Redbridge,0,959,60,10,0,12,85,0,0,1126
2022-08-01,Reigate and Banstead,0,1,1,0,0,0,0,0,0,2
2022-08-01,Richmond upon Thames,0,546,12,7,0,1,26,0,0,592
2022-08-01,Rushmoor,0,1,0,0,0,0,0,0,0,1
2022-08-01,Salford,0,1,0,0,0,0,0,0,0,1
2022-08-01,Sevenoaks,0,2,0,0,0,0,0,0,0,2
2022-08-01,Sheffield,0,0,1,0,0,0,0,0,0,1
2022-08-01,Slough,0,1,0,0,0,0,0,0,0,1
2022-08-01,South Bucks,0,1,0,0,0,0,1,0,0,2
2022-08-01,Southwark,0,2154,57,25,0,16,176,0,0,2428
2022-08-01,Spelthorne,0,0,0,0,0,0,1,0,0,1
2022-08-01,Sutton,0,691,40,13,0,5,49,0,0,798
2022-08-01,Swale,0,1,0,0,0,0,0,0,0,1
2022-08-01,Tandridge,0,4,0,0,0,0,0,0,0,4
2022-08-01,Tendring,0,0,0,0,0,0,1,0,0,1
