Date,Borough,Abstraction Type_Aid,Abstraction Type_CAD,Abstraction Type_Court,Abstraction Type_Custody,Abstraction Type_Local Aid,Abstraction Type_Not Abstracted,Abstraction Type_Staffing Up,Abstraction Type_Training
2018-11-01,Camden,540.0,0.0,960.0,0.0,49935.0,225795.0,0.0,6780.0
2018-11-01,Ealing,9030.0,0.0,2340.0,0.0,49290.0,276918.0,0.0,12237.0
2018-11-01,Greenwich,540.0,0.0,0.0,0.0,26400.0,247125.0,0.0,13140.0
2018-11-01,Hackney,1500.0,0.0,0.0,0.0,8340.0,265023.0,8520.0,5880.0
2018-11-01,Harrow,3810.0,0.0,540.0,0.0,11940.0,123240.0,0.0,1500.0
2018-11-01,Havering,4650.0,0.0,540.0,0.0,29130.0,190655.0,540.0,5700.0
2018-11-01,Hillingdon,300.0,0.0,480.0,0.0,9540.0,206940.0,0.0,6900.0
2018-11-01,Hounslow,1980.0,0.0,2220.0,0.0,6120.0,186420.0,0.0,9780.0
2018-11-01,Islington,0.0,0.0,960.0,0.0,44625.0,292627.0,0.0,11220.0
2018-11-01,Kingston,5220.0,0.0,240.0,0.0,5580.0,132600.0,0.0,5100.0
2018-11-01,Lewisham,5295.0,0.0,1020.0,0.0,37500.0,239070.0,0.0,11820.0
2018-11-01,Merton,0.0,0.0,600.0,0.0,10440.0,314600.0,0.0,14190.0
2018-11-01,Newham,0.0,0.0,3540.0,0.0,14070.0,381444.0,0.0,21600.0
2018-11-01,Redbridge,7860.0,0.0,1320.0,0.0,23220.0,270235.0,0.0,8520.0
2018-11-01,Richmond,0.0,0.0,1080.0,0.0,32970.0,206305.0,0.0,7680.0
2018-11-01,Tower Hamlets,1080.0,0.0,1140.0,0.0,24360.0,300605.0,0.0,18210.0
2018-11-01,Waltham Forest,0.0,0.0,1560.0,0.0,26460.0,229830.0,0.0,11160.0
2018-11-01,Wandsworth,2160.0,0.0,540.0,0.0,15165.0,322689.0,0.0,17820.0
2018-12-01,Barking And Dagenham,4620.0,0.0,1140.0,0.0,4980.0,253845.0,0.0,10830.0
2018-12-01,Barnet,3540.0,0.0,3180.0,0.0,5370.0,237043.0,0.0,18000.0
2018-12-01,Bexley,2880.0,0.0,0.0,0.0,12060.0,294510.0,0.0,2700.0
2018-12-01,Brent,0.0,0.0,1920.0,0.0,36405.0,151665.0,0.0,4200.0
2018-12-01,Camden,5948.0,0.0,540.0,0.0,1020.0,244350.0,0.0,13290.0
2018-12-01,Ealing,9990.0,0.0,1620.0,0.0,10950.0,263726.0,0.0,12660.0
2018-12-01,Greenwich,2130.0,0.0,1560.0,0.0,11040.0,271695.0,0.0,5640.0
2018-12-01,Hackney,19935.0,0.0,2160.0,0.0,540.0,235565.0,0.0,12180.0
2018-12-01,Harrow,3300.0,0.0,540.0,0.0,2580.0,110985.0,0.0,3540.0
2018-12-01,Havering,960.0,0.0,0.0,0.0,6660.0,168135.0,0.0,9720.0
2018-12-01,Hillingdon,11400.0,0.0,1620.0,0.0,0.0,172005.0,480.0,8760.0
2018-12-01,Hounslow,9780.0,0.0,1020.0,0.0,2460.0,157964.0,0.0,8760.0
2018-12-01,Islington,6420.0,0.0,480.0,0.0,7620.0,294253.0,0.0,19050.0
2018-12-01,Kingston,4680.0,0.0,1620.0,0.0,19380.0,116535.0,0.0,2700.0
2018-12-01,Lewisham,2100.0,0.0,780.0,0.0,10200.0,215416.0,0.0,9600.0
2018-12-01,Merton,2160.0,0.0,840.0,0.0,3690.0,263565.0,0.0,6060.0
2018-12-01,Newham,540.0,0.0,3720.0,0.0,2700.0,301010.0,0.0,26640.0
2018-12-01,Redbridge,2160.0,0.0,2280.0,0.0,2880.0,256845.0,0.0,10230.0
2018-12-01,Richmond,4920.0,0.0,1080.0,0.0,8880.0,163800.0,0.0,2220.0
