Date,Borough,Rank Constable,Rank PSCO
2019-06-01,Redbridge,178638.0,88978.0
2019-06-01,Richmond,19082.0,13.0
2019-06-01,Southwark,108.0,19.0
2019-06-01,Sutton,26.0,265509.0
2019-06-01,Tower Hamlets,191.0,377560.0
2019-06-01,Waltham Forest,30.0,16.0
2019-06-01,Wandsworth,62656.0,12.0
2019-06-01,Westminster,31.0,753047.0
2019-07-01,Barking And Dagenham,3461.0,179922.0
2019-07-01,Barnet,34.0,357232.0
2019-07-01,Bexley,2089.0,514970.0
2019-07-01,Brent,89200.0,76406.0
2019-07-01,Bromley,80.0,411766.0
2019-07-01,Camden,71.0,255589.0
2019-07-01,Croydon,197268.0,141691.0
2019-07-01,Ealing,33.0,16.0
2019-07-01,Enfield,1069.0,367700.0
2019-07-01,Greenwich,23.0,401735.0
2019-07-01,Hackney,34.0,132472.0
2019-07-01,Hammersmith And Fulham,197.0,12.0
2019-07-01,Haringey,34.0,17.0
2019-07-01,Harrow,37.0,13.0
2019-07-01,Havering,422058.0,77963.0
2019-07-01,Hillingdon,2813.0,198861.0
2019-07-01,Hounslow,449.0,96724.0
2019-07-01,Islington,27.0,27.0
2019-07-01,Kensington And Chelsea,32.0,166306.0
2019-07-01,Kingston,184.0,140528.0
2019-07-01,Lambeth,33.0,138904.0
2019-07-01,Lewisham,1698.0,366680.0
2019-07-01,Merton,194373.0,361355.0
2019-07-01,Newham,35.0,130489.0
2019-07-01,Redbridge,185643.0,88979.0
2019-07-01,Richmond,19083.0,18.0
2019-07-01,Southwark,109.0,19.0
2019-07-01,Sutton,28.0,348842.0
2019-07-01,Tower Hamlets,191.0,377560.0
2019-07-01,Waltham Forest,32.0,16.0
2019-07-01,Wandsworth,62657.0,172236.0
2019-07-01,Westminster,31.0,753047.0
2019-08-01,Barking And Dagenham,3562.0,179922.0
2019-08-01,Barnet,36.0,357232.0
2019-08-01,Bexley,2089.0,514970.0
2019-08-01,Brent,89200.0,76407.0
2019-08-01,Bromley,80.0,411766.0
2019-08-01,Camden,72.0,255590.0
2019-08-01,Croydon,197268.0,141691.0
2019-08-01,Ealing,77053.0,16.0
2019-08-01,Enfield,1070.0,367701.0
2019-08-01,Greenwich,23.0,401735.0
2019-08-01,Hackney,34.0,132472.0
2019-08-01,Hammersmith And Fulham,197.0,14.0
2019-08-01,Haringey,34.0,17.0
2019-08-01,Harrow,38.0,13.0
2019-08-01,Havering,422060.0,77963.0
2019-08-01,Hillingdon,2913.0,198862.0
2019-08-01,Hounslow,460.0,96724.0
2019-08-01,Islington,27.0,28.0
2019-08-01,Kensington And Chelsea,32.0,166306.0
2019-08-01,Kingston,184.0,140528.0
2019-08-01,Lambeth,33.0,138904.0
2019-08-01,Lewisham,1698.0,366680.0
2019-08-01,Merton,194373.0,361356.0
2019-08-01,Newham,36.0,130489.0
2019-08-01,Redbridge,185643.0,88979.0
2019-08-01,Richmond,19083.0,18.0
2019-08-01,Southwark,109.0,20.0
2019-08-01,Sutton,1616.0,412453.0
2019-08-01,Tower Hamlets,191.0,377560.0
2019-08-01,Waltham Forest,36.0,16.0
2019-08-01,Wandsworth,62658.0,172236.0
2019-08-01,Westminster,1908.0,953047.0
2019-09-01,Barking And Dagenham,3562.0,179922.0
2019-09-01,Barnet,36.0,357232.0
2019-09-01,Bexley,172663.0,514970.0
2019-09-01,Brent,89201.0,76409.0
2019-09-01,Bromley,93.0,510155.0
2019-09-01,Camden,87.0,255592.0
2019-09-01,Croydon,197272.0,141691.0
2019-09-01,Ealing,77067.0,16.0
2019-09-01,Enfield,2174.0,367701.0
2019-09-01,Greenwich,26.0,401735.0
2019-09-01,Hackney,38.0,132473.0
2019-09-01,Hammersmith And Fulham,197.0,14.0
2019-09-01,Haringey,37.0,17.0
2019-09-01,Harrow,38.0,13.0
2019-09-01,Havering,422061.0,77963.0
2019-09-01,Hillingdon,2915.0,198862.0
2019-09-01,Hounslow,460.0,96724.0
2019-09-01,Islington,44.0,28.0
2019-09-01,Kensington And Chelsea,32.0,166306.0
2019-09-01,Kingston,255247.0,140528.0
2019-09-01,Lambeth,38.0,138904.0
2019-09-01,Lewisham,1701.0,366680.0
2019-09-01,Merton,194390.0,361356.0
2019-09-01,Newham,46.0,130489.0
2019-09-01,Redbridge,185643.0,88979.0
2019-09-01,Richmond,19084.0,161129.0
2019-09-01,Southwark,113.0,20.0
2019-09-01,Sutton,1616.0,412453.0
2019-09-01,Tower Hamlets,17990.0,377560.0
2019-09-01,Waltham Forest,40.0,16.0
2019-09-01,Wandsworth,62659.0,222236.0
2019-09-01,Westminster,2915.0,1041936.0
2019-10-01,Barking And Dagenham,3562.0,179922.0
2019-10-01,Barnet,37.0,357232.0
2019-10-01,Bexley,172664.0,604998.0
2019-10-01,Brent,89203.0,76409.0
2019-10-01,Bromley,94.0,510155.0
2019-10-01,Camden,6770.0,255593.0
2019-10-01,Croydon,197273.0,141691.0
2019-10-01,Ealing,77068.0,16.0
2019-10-01,Enfield,2175.0,367703.0
2019-10-01,Greenwich,26.0,401735.0
2019-10-01,Hackney,40.0,132473.0
2019-10-01,Hammersmith And Fulham,202.0,14.0
2019-10-01,Haringey,38.0,17.0
2019-10-01,Harrow,40.0,14.0
2019-10-01,Havering,449186.0,77963.0
2019-10-01,Hillingdon,2917.0,198862.0
2019-10-01,Hounslow,460.0,96725.0
2019-10-01,Islington,49.0,28.0
2019-10-01,Kensington And Chelsea,32.0,166306.0
2019-10-01,Kingston,255247.0,140528.0
2019-10-01,Lambeth,38.0,138904.0
2019-10-01,Lewisham,1701.0,366680.0
2019-10-01,Merton,194392.0,361356.0
2019-10-01,Newham,46.0,130490.0
2019-10-01,Redbridge,185643.0,88979.0
2019-10-01,Richmond,19085.0,161129.0
2019-10-01,Southwark,113.0,21.0
2019-10-01,Sutton,1616.0,412463.0
2019-10-01,Tower Hamlets,17991.0,377561.0
2019-10-01,Waltham Forest,40.0,16.0
2019-10-01,Wandsworth,62660.0,222236.0
2019-10-01,Westminster,2920.0,1141953.0
2019-11-01,Barking And Dagenham,7017.0,179922.0
2019-11-01,Barnet,41.0,457232.0
2019-11-01,Bexley,172664.0,750479.0
2019-11-01,Brent,189208.0,76409.0
2019-11-01,Bromley,100.0,510155.0
2019-11-01,Camden,6771.0,255593.0
2019-11-01,Croydon,197281.0,141692.0
2019-11-01,Ealing,77068.0,17.0
2019-11-01,Enfield,2176.0,367703.0
2019-11-01,Greenwich,26.0,401735.0
2019-11-01,Hackney,42.0,132473.0
2019-11-01,Hammersmith And Fulham,202.0,14.0
2019-11-01,Haringey,38.0,17.0
2019-11-01,Harrow,45.0,14.0
2019-11-01,Havering,452161.0,77963.0
2019-11-01,Hillingdon,3918.0,337752.0
2019-11-01,Hounslow,462.0,96725.0
2019-11-01,Islington,50.0,28.0
2019-11-01,Kensington And Chelsea,32.0,166306.0
2019-11-01,Kingston,255247.0,140535.0
2019-11-01,Lambeth,38.0,138904.0
2019-11-01,Lewisham,1702.0,366680.0
2019-11-01,Merton,194392.0,279414.0
2019-11-01,Newham,47.0,130490.0
2019-11-01,Redbridge,195644.0,88979.0
2019-11-01,Richmond,19087.0,161129.0
2019-11-01,Southwark,217.0,21.0
2019-11-01,Sutton,1637.0,412463.0
2019-11-01,Tower Hamlets,17991.0,377561.0
2019-11-01,Waltham Forest,42.0,16.0
2019-11-01,Wandsworth,62661.0,222238.0
2019-11-01,Westminster,2920.0,1325285.0
2019-12-01,Barking And Dagenham,7017.0,179922.0
2019-12-01,Barnet,43.0,457232.0
2019-12-01,Bexley,172665.0,750479.0
2019-12-01,Brent,189212.0,76409.0
2019-12-01,Bromley,195.0,510155.0
2019-12-01,Camden,7014.0,255593.0
2019-12-01,Croydon,197282.0,141692.0
2019-12-01,Ealing,77069.0,19.0
2019-12-01,Enfield,2176.0,367704.0
2019-12-01,Greenwich,30.0,501735.0
2019-12-01,Hackney,42.0,132473.0
2019-12-01,Hammersmith And Fulham,203.0,14.0
2019-12-01,Haringey,39.0,18.0
2019-12-01,Harrow,49.0,14.0
2019-12-01,Havering,452171.0,77965.0
2019-12-01,Hillingdon,27220.0,355879.0
2019-12-01,Hounslow,564.0,96727.0
2019-12-01,Islington,51.0,30.0
2019-12-01,Kensington And Chelsea,34.0,166306.0
2019-12-01,Kingston,255250.0,140535.0
2019-12-01,Lambeth,40.0,138905.0
2019-12-01,Lewisham,1707.0,466680.0
2019-12-01,Merton,194394.0,279414.0
2019-12-01,Newham,47.0,130490.0
2019-12-01,Redbridge,195647.0,89064.0
2019-12-01,Richmond,19087.0,161129.0
2019-12-01,Southwark,219.0,22.0
2019-12-01,Sutton,1638.0,412463.0
2019-12-01,Tower Hamlets,17991.0,377562.0
2019-12-01,Waltham Forest,42.0,16.0
2019-12-01,Wandsworth,62661.0,222238.0
2019-12-01,Westminster,2921.0,1325285.0
2020-01-01,Barking And Dagenham,5063.0,179923.0
2020-01-01,Barnet,40.0,457232.0
2020-01-01,Bexley,173664.0,758811.0
2020-01-01,Brent,187062.0,76408.0
2020-01-01,Bromley,285.0,510155.0
2020-01-01,Camden,7012.0,255593.0
2020-01-01,Croydon,197464.0,141692.0
2020-01-01,Ealing,77070.0,19.0
2020-01-01,Enfield,19811.0,367704.0
2020-01-01,Greenwich,33.0,501735.0
2020-01-01,Hackney,42.0,132474.0
2020-01-01,Hammersmith And Fulham,204.0,14.0
2020-01-01,Haringey,39.0,18.0
2020-01-01,Harrow,49.0,14.0
2020-01-01,Havering,452180.0,77964.0
2020-01-01,Hillingdon,27220.0,355879.0
2020-01-01,Hounslow,565.0,96727.0
2020-01-01,Islington,46.0,30.0
2020-01-01,Kensington And Chelsea,32.0,166306.0
2020-01-01,Kingston,155251.0,140535.0
2020-01-01,Lambeth,40.0,138904.0
2020-01-01,Lewisham,1708.0,466680.0
2020-01-01,Merton,194393.0,368701.0
2020-01-01,Newham,45.0,130490.0
2020-01-01,Redbridge,163739.0,89064.0
2020-01-01,Richmond,19087.0,161129.0
2020-01-01,Southwark,218.0,22.0
2020-01-01,Sutton,1637.0,386074.0
2020-01-01,Tower Hamlets,17990.0,377561.0
2020-01-01,Waltham Forest,43.0,16.0
2020-01-01,Wandsworth,62661.0,313349.0
2020-01-01,Westminster,45.0,1325285.0
2020-02-01,Barking And Dagenham,4059.0,179923.0
2020-02-01,Barnet,40.0,457232.0
2020-02-01,Bexley,173664.0,858739.0
2020-02-01,Brent,187063.0,76408.0
2020-02-01,Bromley,271.0,510155.0
2020-02-01,Camden,7011.0,80039.0
2020-02-01,Croydon,197274.0,141691.0
2020-02-01,Ealing,77069.0,17.0
2020-02-01,Enfield,29812.0,116685.0
2020-02-01,Greenwich,32.0,215625.0
2020-02-01,Hackney,47.0,132474.0
2020-02-01,Hammersmith And Fulham,237.0,14.0
2020-02-01,Haringey,40.0,16.0
2020-02-01,Harrow,50.0,14.0
2020-02-01,Havering,452182.0,77963.0
2020-02-01,Hillingdon,17221.0,345877.0
2020-02-01,Hounslow,564.0,96727.0
2020-02-01,Islington,46.0,30.0
2020-02-01,Kensington And Chelsea,30.0,77418.0
2020-02-01,Kingston,155102.0,140535.0
2020-02-01,Lambeth,40.0,138904.0
2020-02-01,Lewisham,2707.0,265486.0
2020-02-01,Merton,194396.0,368700.0
2020-02-01,Newham,44.0,130488.0
2020-02-01,Redbridge,63741.0,89064.0
2020-02-01,Richmond,19086.0,161127.0
2020-02-01,Southwark,217.0,22.0
2020-02-01,Sutton,1637.0,386074.0
2020-02-01,Tower Hamlets,17989.0,377561.0
2020-02-01,Waltham Forest,41.0,15.0
2020-02-01,Wandsworth,62662.0,313346.0
2020-02-01,Westminster,41.0,1225285.0
2020-03-01,Barking And Dagenham,194209.0,179923.0
2020-03-01,Barnet,41.0,171214.0
2020-03-01,Bexley,173665.0,858739.0
2020-03-01,Brent,205187.0,76406.0
2020-03-01,Bromley,102.0,520433.0
2020-03-01,Camden,7010.0,80039.0
2020-03-01,Croydon,197273.0,141690.0
2020-03-01,Ealing,77074.0,17.0
2020-03-01,Enfield,39914.0,116683.0
2020-03-01,Greenwich,32.0,301818.0
2020-03-01,Hackney,46.0,215806.0
2020-03-01,Hammersmith And Fulham,136.0,14.0
2020-03-01,Haringey,45.0,16.0
