Borough,White,Asian,Black,Mixed/ Other,Total,Date,White %,Asian %,Black %,Mixed/ Other %
Yorkshire and The Humber,4778000,402000,80000,164000,5423000,2019-01-01,0.8810621427254287,0.07412871104554675,0.014751982297621242,0.03024156371012355
East Midlands,4165000,350000,114000,120000,4749000,2019-01-01,0.8770267424720994,0.07369972625815961,0.024005053695514846,0.025268477574226154
West Midlands,4650000,708000,268000,220000,5846000,2019-01-01,0.7954156688333903,0.12110845022237428,0.045843311666096474,0.0376325692781389
East,5551000,325000,139000,174000,6190000,2019-01-01,0.8967689822294023,0.05250403877221325,0.022455573505654282,0.028109854604200322
London,5329000,1654000,1117000,876000,8976000,2019-01-01,0.5936942959001783,0.18426916221033868,0.12444295900178252,0.09759358288770054
South East,8103000,524000,179000,256000,9062000,2019-01-01,0.8941734716398146,0.05782387993820349,0.01975281394835577,0.028249834473626133
South West,5238000,116000,54000,123000,5532000,2019-01-01,0.9468546637744034,0.02096890817064353,0.009761388286334056,0.022234273318872018
Wales,2930000,87000,36000,60000,3113000,2019-01-01,0.9412142627690331,0.027947317699967878,0.011564407324124639,0.019274012206874396
Scotland,5094000,142000,59000,88000,5382000,2019-01-01,0.9464882943143813,0.026384243775548124,0.010962467484206614,0.016350798959494612
Northern Ireland,1823000,16000,7000,16000,1861000,2019-01-01,0.9795808704997313,0.008597528210639442,0.0037614185921547557,0.008597528210639442
United Kingdom,55180000,4882000,2212000,2292000,64566000,2019-01-01,0.8546293714958337,0.07561255149769229,0.03425951739305517,0.03549855961341883
City of London,0,0,0,0,0,2020-01-01,,,,
Barking and Dagenham,99000,55000,51000,16000,222000,2020-01-01,0.44594594594594594,0.24774774774774774,0.22972972972972974,0.07207207207207207
Barnet,255000,79000,28000,35000,398000,2020-01-01,0.6407035175879398,0.1984924623115578,0.07035175879396985,0.08793969849246232
Bexley,188000,20000,28000,18000,254000,2020-01-01,0.7401574803149606,0.07874015748031496,0.11023622047244094,0.07086614173228346
Brent,117000,138000,40000,37000,332000,2020-01-01,0.35240963855421686,0.41566265060240964,0.12048192771084337,0.11144578313253012
Bromley,264000,25000,23000,25000,338000,2020-01-01,0.7810650887573964,0.07396449704142012,0.06804733727810651,0.07396449704142012
Camden,155000,34000,29000,45000,263000,2020-01-01,0.5893536121673004,0.12927756653992395,0.11026615969581749,0.17110266159695817
Croydon,224000,78000,61000,30000,392000,2020-01-01,0.5714285714285714,0.1989795918367347,0.1556122448979592,0.07653061224489796
Ealing,163000,91000,29000,61000,344000,2020-01-01,0.4738372093023256,0.26453488372093026,0.08430232558139535,0.17732558139534885
Enfield,218000,44000,58000,24000,343000,2020-01-01,0.6355685131195336,0.1282798833819242,0.16909620991253643,0.06997084548104957
Greenwich,158000,61000,55000,19000,292000,2020-01-01,0.541095890410959,0.2089041095890411,0.18835616438356165,0.06506849315068493
Hackney,167000,19000,49000,53000,289000,2020-01-01,0.5778546712802768,0.0657439446366782,0.1695501730103806,0.18339100346020762
Hammersmith and Fulham,122000,14000,15000,29000,180000,2020-01-01,0.6777777777777778,0.07777777777777778,0.08333333333333333,0.16111111111111112
Haringey,208000,13000,36000,23000,280000,2020-01-01,0.7428571428571429,0.04642857142857143,0.12857142857142856,0.08214285714285714
Harrow,101000,103000,8000,35000,248000,2020-01-01,0.40725806451612906,0.4153225806451613,0.03225806451612903,0.14112903225806453
Havering,196000,30000,28000,10000,264000,2020-01-01,0.7424242424242424,0.11363636363636363,0.10606060606060606,0.03787878787878788
Hillingdon,154000,96000,37000,26000,313000,2020-01-01,0.49201277955271566,0.30670926517571884,0.1182108626198083,0.08306709265175719
Hounslow,125000,102000,36000,12000,275000,2020-01-01,0.45454545454545453,0.3709090909090909,0.13090909090909092,0.04363636363636364
Islington,177000,14000,18000,34000,243000,2020-01-01,0.7283950617283951,0.05761316872427984,0.07407407407407407,0.13991769547325103
Kensington and Chelsea,109000,15000,14000,15000,153000,2020-01-01,0.7124183006535948,0.09803921568627451,0.0915032679738562,0.09803921568627451
Kingston upon Thames,135000,26000,7000,14000,181000,2020-01-01,0.7458563535911602,0.143646408839779,0.03867403314917127,0.07734806629834254
Lambeth,215000,22000,55000,38000,329000,2020-01-01,0.6534954407294833,0.0668693009118541,0.16717325227963525,0.11550151975683891
Lewisham,194000,24000,61000,34000,312000,2020-01-01,0.6217948717948718,0.07692307692307693,0.1955128205128205,0.10897435897435898
Merton,140000,33000,21000,14000,208000,2020-01-01,0.6730769230769231,0.15865384615384615,0.10096153846153846,0.0673076923076923
Newham,165000,120000,56000,20000,361000,2020-01-01,0.45706371191135736,0.33240997229916897,0.15512465373961218,0.055401662049861494
Redbridge,132000,139000,26000,16000,313000,2020-01-01,0.4217252396166134,0.4440894568690096,0.08306709265175719,0.051118210862619806
Richmond upon Thames,163000,14000,0,18000,200000,2020-01-01,0.815,0.07,0.0,0.09
Southwark,183000,26000,79000,33000,321000,2020-01-01,0.5700934579439252,0.08099688473520249,0.24610591900311526,0.102803738317757
Sutton,136000,34000,16000,21000,207000,2020-01-01,0.6570048309178744,0.1642512077294686,0.07729468599033816,0.10144927536231885
Tower Hamlets,161000,123000,16000,26000,326000,2020-01-01,0.4938650306748466,0.3773006134969325,0.049079754601226995,0.07975460122699386
Waltham Forest,188000,32000,34000,29000,282000,2020-01-01,0.6666666666666666,0.11347517730496454,0.12056737588652482,0.10283687943262411
Wandsworth,249000,26000,25000,25000,325000,2020-01-01,0.7661538461538462,0.08,0.07692307692307693,0.07692307692307693
Westminster,159000,18000,19000,44000,240000,2020-01-01,0.6625,0.075,0.07916666666666666,0.18333333333333332
North East,2487000,54000,35000,46000,2621000,2020-01-01,0.9488744753910721,0.02060282334986646,0.013353681800839375,0.01755055322396032
North West,5085000,429000,126000,178000,5818000,2020-01-01,0.8740116878652457,0.07373667927122722,0.021656926778961843,0.030594706084565142
Yorkshire and The Humber,4857000,325000,87000,165000,5432000,2020-01-01,0.8941458026509573,0.059830633284241534,0.01601620029455081,0.030375552282768777
East Midlands,4208000,314000,131000,119000,4772000,2020-01-01,0.8818105616093881,0.06580050293378038,0.027451802179379713,0.0249371332774518
West Midlands,4701000,659000,296000,210000,5867000,2020-01-01,0.8012612919720471,0.11232316345662179,0.05045167888188171,0.035793420828362024
East,5614000,282000,133000,189000,6218000,2020-01-01,0.9028626568028305,0.045352203280797684,0.021389514313284015,0.030395625603087808
London,5436000,1668000,1062000,875000,9042000,2020-01-01,0.6011944260119443,0.18447246184472463,0.11745189117451892,0.09677062596770626
South East,8115000,489000,188000,310000,9103000,2020-01-01,0.891464352411293,0.053718554322750744,0.02065253213226409,0.03405470723937164
South West,5284000,108000,54000,114000,5559000,2020-01-01,0.9505306709839899,0.019427954668105773,0.009713977334052886,0.02050728548300054
Wales,2953000,67000,36000,62000,3118000,2020-01-01,0.9470814624759462,0.021488133418858243,0.011545862732520847,0.019884541372674792
Scotland,5117000,132000,68000,78000,5394000,2020-01-01,0.9486466444197256,0.024471635150166853,0.01260659992584353,0.014460511679644048
Northern Ireland,1814000,26000,7000,16000,1863000,2020-01-01,0.9736983360171766,0.013955984970477724,0.003757380568974772,0.008588298443370907
United Kingdom,55670000,4551000,2224000,2362000,64807000,2020-01-01,0.8590121437499035,0.07022389556683692,0.03431728054068233,0.03644668014257719
